county,state,fips,yearninteenthirtyeight
Belk0p County,New Hampshire,33001,0
Georgetown County,South Caroli0,45043,5
Lee County,North Caroli0,37105,1
Pope County,Arkansas,5115,0
Union County,Ohio,39159,0
Darlington County,South Caroli0,45031,0
Stanly County,North Caroli0,37167,0
Knox County,Ohio,39083,0
Barry County,Michigan,26015,0
Hall County,Nebraska,31079,0
Hood County,Texas,48221,0
Garfield County,Oklahoma,40047,0
Laurel County,Kentucky,21125,0
Haywood County,North Caroli0,37087,0
Walla Walla County,Washington,53071,0
Livingston County,New York,36051,0
Reno County,Kansas,20155,0
Garfield County,Colorado,8045,0
Pender County,North Caroli0,37141,0
Cumberland County,Tennessee,47035,0
Columbia County,New York,36021,1
Washington County,New York,36115,0
Athens County,Ohio,39009,0
Eddy County,New Mexico,35015,0
Granville County,North Caroli0,37077,0
Tipton County,Tennessee,47167,0
St. Joseph County,Michigan,26149,0
Crawford County,Arkansas,5033,0
Rutland County,Vermont,50021,0
Pittsylvania County,Virginia,51143,0
Herkimer County,New York,36043,0
Lincoln County,Missouri,29113,0
Bradford County,Pennsylvania,42015,1
Otter Tail County,Minnesota,27111,0
Van Zandt County,Texas,48467,0
Washington County,Vermont,50023,0
Otsego County,New York,36077,0
Washington County,Ohio,39167,0
Mercer County,West Virginia,54055,0
Lyon County,Nevada,32019,0
Sampson County,North Caroli0,37163,0
Ke0i Peninsula Borough,Alaska,2122,0
Blount County,Alabama,1009,0
Newton County,Missouri,29145,0
Pike County,Pennsylvania,42103,0
Sandusky County,Ohio,39143,0
Russell County,Alabama,1113,0
Pickaway County,Ohio,39129,0
Autauga County,Alabama,1001,0
Lowndes County,Mississippi,28087,0
Huron County,Ohio,39077,0
Box Elder County,Utah,49003,0
Oxford County,Maine,23017,0
Columbia County,Wisconsin,55021,0
Carson City,Nevada,32510,0
Genesee County,New York,36037,0
Pike County,Kentucky,21195,0
Coffee County,Tennessee,47031,0
Anderson County,Texas,48001,0
Iron County,Utah,49021,0
Jefferson County,West Virginia,54037,1
Lawrence County,Ohio,39087,0
Windsor County,Vermont,50027,0
Maverick County,Texas,48323,0
Gordon County,Georgia,13129,0
Acadia Parish,Louisia0,22001,0
Waller County,Texas,48473,0
Put0m County,West Virginia,54079,0
Scott County,Kentucky,21209,0
Colbert County,Alabama,1033,2
Vermilion Parish,Louisia0,22113,0
Hawkins County,Tennessee,47073,0
Chisago County,Minnesota,27025,0
Hardin County,Texas,48199,0
Pearl River County,Mississippi,28109,0
Carter County,Tennessee,47019,0
Taney County,Missouri,29213,0
Cherokee County,South Caroli0,45021,0
Marion County,West Virginia,54049,0
Lafayette County,Mississippi,28071,0
La Plata County,Colorado,8067,0
Hancock County,Maine,23009,0
Eagle County,Colorado,8037,0
Whiteside County,Illinois,17195,0
Campbell County,Virginia,51031,0
Loudon County,Tennessee,47105,0
Grady County,Oklahoma,40051,0
Camden County,Georgia,13039,0
Lenoir County,North Caroli0,37107,0
Seneca County,Ohio,39147,0
Jefferson County,Tennessee,47089,0
Tuolumne County,California,6109,0
Franklin County,Virginia,51067,0
Dickson County,Tennessee,47043,0
Watauga County,North Caroli0,37189,0
Saline County,Kansas,20169,0
Johnson County,Missouri,29101,0
Washington County,Virginia,51191,4
Roane County,Tennessee,47145,0
Pulaski County,Missouri,29169,0
Elko County,Nevada,32007,0
Coffee County,Alabama,1031,0
McMinn County,Tennessee,47107,0
Boone County,Illinois,17007,0
Gila County,Arizo0,4007,0
Jessamine County,Kentucky,21113,0
Fulton County,New York,36035,0
Tuscola County,Michigan,26157,0
Jackson County,Illinois,17077,0
Columbia County,Oregon,41009,0
0varro County,Texas,48349,0
Worcester County,Maryland,24047,0
Culpeper County,Virginia,51047,0
Kerr County,Texas,48265,0
Rusk County,Texas,48401,0
Warren County,Iowa,19181,0
Grundy County,Illinois,17063,0
Jackson County,Alabama,1071,0
Hoke County,North Caroli0,37093,0
Washington County,Oklahoma,40147,0
Ashland County,Ohio,39005,0
Madison County,Idaho,16065,0
Calumet County,Wisconsin,55015,0
St. Charles Parish,Louisia0,22089,0
St. Martin Parish,Louisia0,22099,0
Grant County,Wisconsin,55043,0
Waupaca County,Wisconsin,55135,0
Harrisonburg City,Virginia,51660,0
Darke County,Ohio,39037,0
Nye County,Nevada,32023,0
Ogle County,Illinois,17141,0
Cass County,Michigan,26027,0
Franklin County,Kentucky,21073,0
Medi0 County,Texas,48325,0
Oktibbeha County,Mississippi,28105,0
Wayne County,Pennsylvania,42127,0
Columbus County,North Caroli0,37047,0
Cherokee County,Texas,48073,0
Henry County,Virginia,51089,0
Dearborn County,India0,18029,0
Carroll County,New Hampshire,33003,0
Bristol County,Rhode Island,44001,0
Somerset County,Maine,23025,1
Polk County,Texas,48373,0
Bedford County,Tennessee,47003,0
Ve0ngo County,Pennsylvania,42121,2
Gibson County,Tennessee,47053,0
Wilson County,Texas,48493,0
Lincoln County,Oregon,41041,0
Queen Anne's County,Maryland,24035,0
Lamar County,Texas,48277,0
Newaygo County,Michigan,26123,0
Buffalo County,Nebraska,31019,0
Franklin County,Vermont,50011,0
Logan County,Oklahoma,40083,0
Wino0 County,Minnesota,27169,0
Knox County,Illinois,17095,0
Burnet County,Texas,48053,0
Montgomery County,New York,36057,0
Douglas County,Nevada,32005,0
Dale County,Alabama,1045,0
Laurens County,Georgia,13175,4
Atascosa County,Texas,48013,0
Duplin County,North Caroli0,37061,0
Henry County,Illinois,17073,0
St. Mary Parish,Louisia0,22101,0
Fremont County,Colorado,8043,0
Edgecombe County,North Caroli0,37065,0
Henry County,India0,18065,0
Halifax County,North Caroli0,37083,2
Le Flore County,Oklahoma,40079,0
Vernon Parish,Louisia0,22115,0
Tioga County,New York,36107,0
Curry County,New Mexico,35009,0
Lincoln Parish,Louisia0,22061,0
Bingham County,Idaho,16011,0
Boyd County,Kentucky,21019,0
Carter County,Oklahoma,40019,0
Shelby County,Ohio,39149,0
Shelby County,Kentucky,21211,0
Greene County,New York,36039,4
Bonner County,Idaho,16017,0
Crittenden County,Arkansas,5035,0
Santa Cruz County,Arizo0,4023,0
Jackson County,Florida,12063,0
Goodhue County,Minnesota,27049,0
Val Verde County,Texas,48465,0
Bedford County,Pennsylvania,42009,1
Franklin County,New York,36033,1
Noble County,India0,18113,0
Cherokee County,Oklahoma,40021,0
Allegany County,New York,36003,0
Whitman County,Washington,53075,0
Che0ngo County,New York,36017,0
Coles County,Illinois,17029,0
Chambers County,Texas,48071,0
Campbell County,Wyoming,56005,0
Nelson County,Kentucky,21179,0
Stevens County,Washington,53065,0
Cortland County,New York,36023,0
Barron County,Wisconsin,55005,0
Bryan County,Oklahoma,40013,0
Monroe County,Tennessee,47123,0
Clinton County,Iowa,19045,0
Habersham County,Georgia,13137,0
Charlottesville City,Virginia,51540,0
Beltrami County,Minnesota,27007,0
Auglaize County,Ohio,39011,0
Jackson County,India0,18071,0
Marshall County,India0,18099,0
Monroe County,Wisconsin,55081,0
Mifflin County,Pennsylvania,42087,0
Caldwell County,Texas,48055,0
Logan County,Ohio,39091,0
Hancock County,Mississippi,28045,0
Osage County,Oklahoma,40113,0
Greene County,Arkansas,5055,0
Perry County,Pennsylvania,42099,0
Windham County,Vermont,50025,0
Colquitt County,Georgia,13071,0
Hillsdale County,Michigan,26059,0
Calaveras County,California,6009,0
Thomas County,Georgia,13275,0
Washington Parish,Louisia0,22117,0
Kendall County,Texas,48259,0
Wood County,Texas,48499,0
Hopkins County,Kentucky,21107,0
Dunn County,Wisconsin,55033,0
Chilton County,Alabama,1021,0
Polk County,Wisconsin,55095,0
Lawrence County,India0,18093,0
Itasca County,Minnesota,27061,0
Bryan County,Georgia,13029,0
Shelby County,India0,18145,0
Macoupin County,Illinois,17117,0
Ravalli County,Monta0,30081,0
Phelps County,Missouri,29161,0
Branch County,Michigan,26023,0
Henderson County,Kentucky,21101,0
Beaufort County,North Caroli0,37013,0
Stokes County,North Caroli0,37169,0
Delaware County,New York,36025,4
McDowell County,North Caroli0,37111,0
Washington County,Mississippi,28151,0
Callaway County,Missouri,29027,0
Barren County,Kentucky,21009,0
Stephenson County,Illinois,17177,0
Kittitas County,Washington,53037,0
Lawrence County,Tennessee,47099,0
Warren County,Mississippi,28149,0
She0ndoah County,Virginia,51171,0
Jefferson County,Pennsylvania,42065,0
Holmes County,Ohio,39075,0
Huntingdon County,Pennsylvania,42061,0
Douglas County,Wisconsin,55031,0
Siskiyou County,California,6093,0
St. Ber0rd Parish,Louisia0,22087,0
Madison County,Ohio,39097,0
Suwannee County,Florida,12121,0
Kay County,Oklahoma,40071,0
Baldwin County,Georgia,13009,0
Pittsburg County,Oklahoma,40121,0
Gadsden County,Florida,12039,0
Brown County,Ohio,39015,0
Kandiyohi County,Minnesota,27067,0
Dubois County,India0,18037,0
Chesterfield County,South Caroli0,45025,0
Sullivan County,New Hampshire,33019,0
DeKalb County,India0,18033,0
Highland County,Ohio,39071,0
Levy County,Florida,12075,0
Camden County,Missouri,29029,0
Douglas County,Washington,53017,0
Richmond County,North Caroli0,37153,0
Stephens County,Oklahoma,40137,0
Pettis County,Missouri,29159,0
Coffee County,Georgia,13069,0
Davie County,North Caroli0,37059,0
Polk County,Georgia,13233,0
Franklin County,Tennessee,47051,0
Cerro Gordo County,Iowa,19033,0
Muscatine County,Iowa,19139,0
Union County,Pennsylvania,42119,0
Montrose County,Colorado,8085,0
Erath County,Texas,48143,0
Miller County,Arkansas,5091,0
Prince George County,Virginia,51149,0
Ma0ssas City,Virginia,51683,0
Fulton County,Ohio,39051,0
Summit County,Utah,49043,0
Danville City,Virginia,51590,0
Vance County,North Caroli0,37181,0
McClain County,Oklahoma,40087,0
Jackson County,North Caroli0,37099,0
Okanogan County,Washington,53047,0
Mercer County,Ohio,39107,0
Butler County,Missouri,29023,0
Fayette County,Tennessee,47047,0
Ohio County,West Virginia,54069,0
Nez Perce County,Idaho,16069,0
Pierce County,Wisconsin,55093,0
Sweetwater County,Wyoming,56037,0
Clinton County,Ohio,39027,0
St. John the Baptist Parish,Louisia0,22095,0
Oconee County,Georgia,13219,0
Crawford County,Ohio,39033,0
Cooke County,Texas,48097,0
Marinette County,Wisconsin,55075,0
Baxter County,Arkansas,5005,0
Wharton County,Texas,48481,0
Gratiot County,Michigan,26057,0
Benton County,Minnesota,27009,0
Upshur County,Texas,48459,0
Isanti County,Minnesota,27059,0
Tallapoosa County,Alabama,1123,0
Tift County,Georgia,13277,0
Clatsop County,Oregon,41007,0
Tioga County,Pennsylvania,42117,0
Cheatham County,Tennessee,47021,0
Warren County,Tennessee,47177,0
Preble County,Ohio,39135,0
Shawano County,Wisconsin,55115,0
Warren County,Virginia,51187,0
Delaware County,Oklahoma,40041,0
Sanilac County,Michigan,26151,0
Knox County,Maine,23013,0
Amador County,California,6005,0
Fayette County,West Virginia,54019,0
McKean County,Pennsylvania,42083,0
Pasquotank County,North Caroli0,37139,0
Tazewell County,Virginia,51185,0
Ottawa County,Ohio,39123,0
LaGrange County,India0,18087,0
Mississippi County,Arkansas,5093,0
Wyoming County,New York,36121,0
Rio Arriba County,New Mexico,35039,0
Orleans County,New York,36073,0
Mecosta County,Michigan,26107,0
Pike County,Mississippi,28113,0
Mower County,Minnesota,27099,0
Murray County,Georgia,13213,0
Marshall County,Iowa,19127,0
Howell County,Missouri,29091,0
Hendry County,Florida,12051,0
Latah County,Idaho,16057,0
Okeechobee County,Florida,12093,0
Snyder County,Pennsylvania,42109,0
Waldo County,Maine,23027,0
Harrison County,India0,18061,0
Sequoyah County,Oklahoma,40135,0
Avoyelles Parish,Louisia0,22009,0
Fremont County,Wyoming,56013,0
Campbell County,Tennessee,47013,0
Mayes County,Oklahoma,40097,0
Webster County,Missouri,29225,0
Person County,North Caroli0,37145,0
Douglas County,Minnesota,27041,0
Williams County,North Dakota,38105,0
Jim Wells County,Texas,48249,0
Oconto County,Wisconsin,55083,0
Crawford County,Kansas,20037,0
Wayne County,West Virginia,54099,0
Isle of Wight County,Virginia,51093,0
Gloucester County,Virginia,51073,0
Des Moines County,Iowa,19057,0
Union County,Arkansas,5139,0
Champaign County,Ohio,39021,0
Colleton County,South Caroli0,45029,0
Susquehan0 County,Pennsylvania,42115,1
Warren County,Pennsylvania,42123,0
Graham County,Arizo0,4009,0
Woodford County,Illinois,17203,0
Guernsey County,Ohio,39059,0
Dallas County,Alabama,1047,0
Defiance County,Ohio,39039,0
Brown County,South Dakota,46013,0
Lawrence County,Missouri,29109,0
Finney County,Kansas,20055,0
Brown County,Texas,48049,0
Pontotoc County,Oklahoma,40123,0
Louisa County,Virginia,51109,0
Scott County,Missouri,29201,0
Montgomery County,India0,18107,0
Newberry County,South Caroli0,45071,0
Independence County,Arkansas,5063,0
Clinton County,Pennsylvania,42035,0
Cass County,India0,18017,0
Franklin County,Illinois,17055,0
Jasper County,Iowa,19099,0
Oneida County,Wisconsin,55085,0
Talbot County,Maryland,24041,0
Boone County,Arkansas,5009,0
Marion County,Illinois,17121,4
Covington County,Alabama,1039,1
Albany County,Wyoming,56001,0
Clarion County,Pennsylvania,42031,0
0tchitoches Parish,Louisia0,22069,0
Addison County,Vermont,50001,0
Houghton County,Michigan,26061,0
Steele County,Minnesota,27147,0
Calloway County,Kentucky,21035,0
Bennington County,Vermont,50003,0
Essex County,New York,36031,1
Yadkin County,North Caroli0,37197,0
Dodge County,Nebraska,31053,0
Dare County,North Caroli0,37055,0
Macon County,North Caroli0,37113,0
Green County,Wisconsin,55045,0
Jefferson County,Illinois,17081,0
Hopkins County,Texas,48223,0
Clinton County,Illinois,17027,0
Webster County,Iowa,19187,0
Williams County,Ohio,39171,0
Put0m County,India0,18133,0
Okmulgee County,Oklahoma,40111,0
Clark County,Kentucky,21049,0
Sagadahoc County,Maine,23023,0
Delta County,Michigan,26041,0
Dyer County,Tennessee,47045,0
Webster Parish,Louisia0,22119,0
Escambia County,Alabama,1053,0
McLeod County,Minnesota,27085,0
Graves County,Kentucky,21083,0
Huntington County,India0,18069,0
Chippewa County,Michigan,26033,0
Whitley County,Kentucky,21235,0
Coshocton County,Ohio,39031,0
Orange County,Virginia,51137,0
Beauregard Parish,Louisia0,22011,0
Alexander County,North Caroli0,37003,0
Carlton County,Minnesota,27017,0
Matagorda County,Texas,48321,0
Geary County,Kansas,20061,0
Cocke County,Tennessee,47029,0
Knox County,India0,18083,0
Hill County,Texas,48217,0
Wise County,Virginia,51195,0
Laclede County,Missouri,29105,0
Fannin County,Texas,48147,0
Scotts Bluff County,Nebraska,31157,0
Miami County,India0,18103,0
Uintah County,Utah,49047,0
Ware County,Georgia,13299,2
Greenup County,Kentucky,21089,0
Adams County,India0,18001,0
Sioux County,Iowa,19167,0
Washington County,Texas,48477,0
Greene County,Pennsylvania,42059,0
Floyd County,Kentucky,21071,0
Livingston County,Illinois,17105,0
Warren County,Missouri,29219,0
Madison County,Nebraska,31119,0
Lincoln County,Maine,23015,0
Perry County,Ohio,39127,0
Lincoln County,Tennessee,47103,0
Silver Bow County,Monta0,30093,0
Wapello County,Iowa,19179,0
Becker County,Minnesota,27005,0
Morrow County,Ohio,39117,0
Wasatch County,Utah,49051,0
Harris County,Georgia,13145,0
Monroe County,Illinois,17133,0
Lincoln County,Mississippi,28085,0
Alcorn County,Mississippi,28003,0
Clark County,Wisconsin,55019,0
Barry County,Missouri,29009,0
Cowley County,Kansas,20035,0
Brookings County,South Dakota,46011,0
Chambers County,Alabama,1017,0
Effingham County,Illinois,17049,0
Marshall County,Tennessee,47117,0
Lincoln County,Nebraska,31111,0
Steuben County,India0,18151,0
Howard County,Texas,48227,0
Taos County,New Mexico,35055,0
Put0m County,Ohio,39137,0
Nicollet County,Minnesota,27103,0
Miami County,Kansas,20121,0
Whitley County,India0,18183,0
DeSoto County,Florida,12027,0
Scotland County,North Caroli0,37165,0
Lee County,Illinois,17103,0
Platte County,Nebraska,31141,0
Ford County,Kansas,20057,0
Preston County,West Virginia,54077,0
Monroe County,Mississippi,28095,0
Emmet County,Michigan,26047,0
Morrison County,Minnesota,27097,0
Halifax County,Virginia,51083,0
Marshall County,Mississippi,28093,0
Harvey County,Kansas,20079,0
Christian County,Illinois,17021,0
Pulaski County,Virginia,51155,0
Wexford County,Michigan,26165,0
Botetourt County,Virginia,51023,0
Lincoln County,Oklahoma,40081,0
Wakulla County,Florida,12129,0
Fulton County,Illinois,17057,0
Seneca County,New York,36099,0
Marion County,Iowa,19125,0
Lee County,Iowa,19111,0
Pickens County,Georgia,13227,0
Lumpkin County,Georgia,13187,0
Accomack County,Virginia,51001,0
Daviess County,India0,18027,0
Caroline County,Maryland,24011,0
Petersburg City,Virginia,51730,0
Bureau County,Illinois,17011,0
Morton County,North Dakota,38059,0
Panola County,Mississippi,28107,0
Transylvania County,North Caroli0,37175,0
Hot Spring County,Arkansas,5059,0
Lawrence County,Alabama,1079,0
Jefferson County,India0,18077,0
Jasper County,India0,18073,0
Jasper County,Texas,48241,0
Rhea County,Tennessee,47143,0
Clinton County,India0,18023,0
Gibson County,India0,18051,0
Jefferson County,Washington,53031,0
Pike County,Alabama,1109,2
Greenbrier County,West Virginia,54025,0
Stark County,North Dakota,38089,0
Lee County,Georgia,13177,0
Weakley County,Tennessee,47183,0
Morgan County,Illinois,17137,0
Lafayette County,Missouri,29107,0
Jackson County,Ohio,39079,0
Dorchester County,Maryland,24019,0
Hale County,Texas,48189,0
Logan County,West Virginia,54045,0
Evangeline Parish,Louisia0,22039,0
Henry County,Tennessee,47079,0
Jefferson Davis Parish,Louisia0,22053,0
Lyon County,Kansas,20111,0
Chester County,South Caroli0,45023,0
Juneau City and Borough,Alaska,2110,0
Claiborne County,Tennessee,47025,0
Franklin County,Alabama,1059,0
Polk County,Missouri,29167,0
Lassen County,California,6035,0
Marshall County,Kentucky,21157,0
Malheur County,Oregon,41045,0
Gilmer County,Georgia,13123,0
Lake County,Monta0,30047,0
Huron County,Michigan,26063,0
Montgomery County,Kansas,20125,0
Coos County,New Hampshire,33007,0
Amherst County,Virginia,51009,0
Jefferson County,Idaho,16051,0
Stone County,Missouri,29209,0
Titus County,Texas,48449,0
Pontotoc County,Mississippi,28115,0
Caroline County,Virginia,51033,0
Sheridan County,Wyoming,56033,0
Delta County,Colorado,8029,0
Clarendon County,South Caroli0,45027,0
Adams County,Nebraska,31001,0
Polk County,Minnesota,27119,0
Washington County,Maine,23029,0
Wabash County,India0,18169,0
McCurtain County,Oklahoma,40089,0
Clare County,Michigan,26035,0
Bee County,Texas,48025,0
Summit County,Colorado,8117,0
Greene County,India0,18055,0
Elk County,Pennsylvania,42047,0
Williamsburg County,South Caroli0,45089,0
Kleberg County,Texas,48273,0
Freeborn County,Minnesota,27047,0
Vernon County,Wisconsin,55123,0
Muhlenberg County,Kentucky,21177,0
Bolivar County,Mississippi,28011,0
Trempealeau County,Wisconsin,55121,0
Obion County,Tennessee,47131,0
Hardin County,Ohio,39065,0
Boyle County,Kentucky,21021,0
Marshall County,West Virginia,54051,0
Powhatan County,Virginia,51145,0
Ottawa County,Oklahoma,40115,0
Caledonia County,Vermont,50005,0
Randolph County,Illinois,17157,0
Austin County,Texas,48015,0
Madison County,Georgia,13195,0
Mecklenburg County,Virginia,51117,0
Giles County,Tennessee,47055,0
Cass County,Minnesota,27021,0
Wayne County,Georgia,13305,0
Iberville Parish,Louisia0,22047,0
Knox County,Kentucky,21121,0
Haralson County,Georgia,13143,0
McPherson County,Kansas,20113,0
Door County,Wisconsin,55029,0
Meade County,South Dakota,46093,0
Schoharie County,New York,36095,0
Meade County,Kentucky,21163,0
Park County,Wyoming,56029,0
Franklin County,Maine,23007,0
Bladen County,North Caroli0,37017,0
Smyth County,Virginia,51173,0
Jasper County,South Caroli0,45053,0
Grimes County,Texas,48185,0
Orange County,Vermont,50017,0
Adams County,Mississippi,28001,0
Sumter County,Georgia,13261,0
Gallia County,Ohio,39053,0
Marion County,South Caroli0,45067,0
Marion County,Alabama,1093,0
Mason County,Michigan,26105,0
Carroll County,Virginia,51035,0
Pine County,Minnesota,27115,0
Decatur County,Georgia,13087,0
Morgan County,Colorado,8087,0
Ripley County,India0,18137,0
Neshoba County,Mississippi,28099,0
Ellis County,Kansas,20051,0
Alpe0 County,Michigan,26007,0
Hancock County,West Virginia,54029,0
Fayette County,Ohio,39047,0
Cherokee County,North Caroli0,37039,0
Garrett County,Maryland,24023,0
Marion County,Tennessee,47115,0
Van Wert County,Ohio,39161,0
Sanpete County,Utah,49039,0
Le Sueur County,Minnesota,27079,0
Elmore County,Idaho,16039,0
Glenn County,California,6021,0
Stoddard County,Missouri,29207,0
Cass County,Texas,48067,0
Currituck County,North Caroli0,37053,0
Palo Pinto County,Texas,48363,0
Marion County,Missouri,29127,0
Codington County,South Dakota,46029,0
Lincoln County,Wisconsin,55069,0
Custer County,Oklahoma,40039,0
Jones County,Georgia,13169,0
Carroll County,Tennessee,47017,0
Carroll County,Arkansas,5015,0
Montgomery County,Illinois,17135,0
Monroe County,Georgia,13207,0
Wythe County,Virginia,51197,0
Fredericksburg City,Virginia,51630,0
Dillon County,South Caroli0,45033,0
Copiah County,Mississippi,28029,0
Montgomery County,Kentucky,21173,1
Dunklin County,Missouri,29069,0
Wells County,India0,18179,0
White County,Georgia,13311,0
Perry County,Kentucky,21193,0
Washington County,India0,18175,0
Hocking County,Ohio,39073,0
Winchester City,Virginia,51840,0
Tate County,Mississippi,28137,0
Dinwiddie County,Virginia,51053,0
Peach County,Georgia,13225,0
Logan County,Illinois,17107,0
Grant County,New Mexico,35017,0
Randolph County,West Virginia,54083,0
Baker County,Florida,12003,0
Scott County,Mississippi,28123,0
Leflore County,Mississippi,28083,0
Union County,Mississippi,28145,0
Jackson County,West Virginia,54035,0
Henderson County,Tennessee,47077,2
Bradford County,Florida,12007,0
San Jacinto County,Texas,48407,0
Upson County,Georgia,13293,0
Jennings County,India0,18079,0
Henry County,Ohio,39069,0
Adams County,Ohio,39001,0
Logan County,Kentucky,21141,0
Yazoo County,Mississippi,28163,0
Del Norte County,California,6015,0
Orleans County,Vermont,50019,0
Fluvan0 County,Virginia,51065,0
White County,Tennessee,47185,0
West Baton Rouge Parish,Louisia0,22121,0
McDonough County,Illinois,17109,0
Dawson County,Georgia,13085,0
Tillamook County,Oregon,41057,0
San Miguel County,New Mexico,35047,0
Cibola County,New Mexico,35006,0
Union County,South Caroli0,45087,0
Pike County,Ohio,39131,0
Iroquois County,Illinois,17075,0
King George County,Virginia,51099,0
Mineral County,West Virginia,54057,0
Gillespie County,Texas,48171,0
Toombs County,Georgia,13279,0
Caddo County,Oklahoma,40015,0
Woodford County,Kentucky,21239,0
Hardin County,Tennessee,47071,0
De Soto Parish,Louisia0,22031,0
Carroll County,Ohio,39019,0
Ashe County,North Caroli0,37009,0
Cass County,Nebraska,31025,0
Stephens County,Georgia,13257,0
Ocea0 County,Michigan,26127,0
Boone County,Iowa,19015,0
Juneau County,Wisconsin,55057,0
Lewis County,New York,36049,0
Mille Lacs County,Minnesota,27095,0
Carter County,Kentucky,21043,0
Geneva County,Alabama,1061,3
Wasco County,Oregon,41065,0
Harlan County,Kentucky,21095,0
Marlboro County,South Caroli0,45069,0
Grayson County,Kentucky,21085,0
Elbert County,Colorado,8039,0
Decatur County,India0,18031,0
Clay County,India0,18021,0
Union County,Oregon,41061,0
Wyoming County,Pennsylvania,42131,0
Edgefield County,South Caroli0,45037,0
Charlevoix County,Michigan,26029,0
Hart County,Georgia,13147,0
Grady County,Georgia,13131,0
Montezuma County,Colorado,8083,0
Taylor County,Kentucky,21217,0
Lawrence County,South Dakota,46081,0
Lamoille County,Vermont,50015,0
Franklin County,Kansas,20059,0
Dickinson County,Michigan,26043,0
Johnson County,Arkansas,5071,0
Mc0iry County,Tennessee,47109,0
Simpson County,Mississippi,28127,0
Brown County,Minnesota,27015,0
Sunflower County,Mississippi,28133,0
Montgomery County,North Caroli0,37123,0
Garvin County,Oklahoma,40049,0
Russell County,Virginia,51167,0
Cheboygan County,Michigan,26031,0
Benton County,Iowa,19011,0
Plymouth County,Iowa,19149,0
Staunton City,Virginia,51790,0
Payette County,Idaho,16075,0
Hardee County,Florida,12049,0
Butts County,Georgia,13035,0
Hardeman County,Tennessee,47069,0
Mason County,West Virginia,54053,0
Pottawatomie County,Kansas,20149,0
Barton County,Kansas,20009,0
Gladwin County,Michigan,26051,0
Morehouse Parish,Louisia0,22067,0
Fannin County,Georgia,13111,0
Churchill County,Nevada,32001,0
Lu0 County,New Mexico,35029,0
Salem City,Virginia,51775,0
Macon County,Tennessee,47111,0
Lyon County,Minnesota,27083,0
Iosco County,Michigan,26069,0
Adair County,Missouri,29001,0
Todd County,Minnesota,27153,0
Posey County,India0,18129,0
Otsego County,Michigan,26137,0
Lauderdale County,Tennessee,47097,0
Grant County,Kentucky,21081,0
Milam County,Texas,48331,0
Cherokee County,Alabama,1019,0
Manistee County,Michigan,26101,0
Washington County,Florida,12133,0
Bremer County,Iowa,19017,0
Hickman County,Tennessee,47081,0
Crook County,Oregon,41013,0
Cleburne County,Arkansas,5023,0
Prentiss County,Mississippi,28117,0
Routt County,Colorado,8107,0
Goochland County,Virginia,51075,0
Chattooga County,Georgia,13055,0
Union County,Georgia,13291,0
Barbour County,Alabama,1005,0
Audrain County,Missouri,29007,0
Cassia County,Idaho,16031,0
Miller County,Missouri,29131,0
Uvalde County,Texas,48463,0
Texas County,Missouri,29215,0
Jackson County,Oklahoma,40065,0
Teller County,Colorado,8119,0
Yates County,New York,36123,0
Somerset County,Maryland,24039,0
Waushara County,Wisconsin,55137,0
Jefferson County,Oregon,41031,0
Randolph County,Missouri,29175,0
White County,India0,18181,0
Nicholas County,West Virginia,54067,0
Randolph County,India0,18135,0
Fayette County,Texas,48149,0
Rowan County,Kentucky,21205,0
George County,Mississippi,28039,0
Jerome County,Idaho,16053,0
Scott County,India0,18143,0
Abbeville County,South Caroli0,45001,0
Marion County,Mississippi,28091,0
Burke County,Georgia,13033,0
Lincoln County,Kentucky,21137,0
Tatt0ll County,Georgia,13267,0
Bell County,Kentucky,21013,0
Blaine County,Idaho,16013,0
Fairfax City,Virginia,51600,0
Shelby County,Texas,48419,0
Aransas County,Texas,48007,0
Dawson County,Nebraska,31047,0
Hood River County,Oregon,41027,0
Itawamba County,Mississippi,28057,0
Upshur County,West Virginia,54097,0
Anderson County,Kentucky,21005,0
Ohio County,Kentucky,21183,0
Iowa County,Wisconsin,55049,0
Page County,Virginia,51139,0
Antrim County,Michigan,26009,0
Saline County,Illinois,17165,0
Winston County,Alabama,1133,0
Grainger County,Tennessee,47057,0
Seminole County,Oklahoma,40133,0
Washington County,Missouri,29221,0
Roscommon County,Michigan,26143,0
Juniata County,Pennsylvania,42067,0
Franklin County,Georgia,13119,0
Mingo County,West Virginia,54059,0
Menominee County,Michigan,26109,0
Curry County,Oregon,41015,0
Pacific County,Washington,53049,0
Fayette County,India0,18041,0
McDo0ld County,Missouri,29119,0
Meeker County,Minnesota,27093,0
Teton County,Wyoming,56039,0
Yankton County,South Dakota,46135,0
Starke County,India0,18149,0
Plaquemines Parish,Louisia0,22075,0
New Kent County,Virginia,51127,0
Hampshire County,West Virginia,54027,0
Saline County,Missouri,29195,0
Vilas County,Wisconsin,55125,0
St. Francis County,Arkansas,5123,0
Ray County,Missouri,29177,0
Clarke County,Alabama,1025,0
Hopewell City,Virginia,51670,0
Crawford County,Missouri,29055,0
Osceola County,Michigan,26133,0
Poinsett County,Arkansas,5111,0
Emanuel County,Georgia,13107,0
Franklin County,India0,18047,0
Klickitat County,Washington,53039,0
Allen Parish,Louisia0,22003,0
Caswell County,North Caroli0,37033,0
Columbia County,Arkansas,5027,0
Rockbridge County,Virginia,51163,0
Mercer County,Kentucky,21167,0
Johnson County,Kentucky,21115,0
